1,MUKTAR EDRIS,0:28:31,0:02:51,7of 34,7of 34,Interval
2,PAUL TANUI,0:29:35,0:02:58,13of 34,13of 34,Interval
3,KIBIWOTT KANDIE,0:27:57,0:02:48,3of 34,3of 34,Interval
4,TADESE WORKU,0:27:43,0:02:47,2of 34,2of 34,Interval
5,NICHOLAS KIPKORIR,0:27:38,0:02:46,1of 34,1of 34,Interval
6,YASIN HAJI,0:28:03,0:02:49,5of 34,5of 34,Interval
7,BRAVIN KIPKOGEI,0:29:05,0:02:55,11of 34,11of 34,Interval
8,MATHEW KIMELI,0:28:34,0:02:52,8of 34,8of 34,Interval
9,ABEL SIKOWO,0:28:59,0:02:54,10of 34,10of 34,Interval
10,TELAHUN BEKELE,0:28:02,0:02:49,4of 34,4of 34,Interval
11,REYNOLD KIPKORIR,0:28:46,0:02:53,9of 34,9of 34,Interval
12,EMMANUEL KIPROP,0:28:18,0:02:50,6of 34,6of 34,Interval
13,ANDAMLAK BELIHU,0:29:22,0:02:57,12of 34,12of 34,Interval
21,MATHEW CHEKWURUI,0:30:04,0:03:01,14of 34,14of 34,Interval
51,SRINU BUGATHA,0:31:03,0:03:07,25of 34,25of 34,Indian Male
52,TIRTHA PUN,0:30:28,0:03:03,21of 34,21of 34,Indian Male
54,BELLIAPPA AB,0:31:09,0:03:07,26of 34,26of 34,Indian Male
55,ANISH THAPA,0:30:18,0:03:02,20of 34,20of 34,Indian Male
57,DINESH .,0:30:52,0:03:05,24of 34,24of 34,Indian Male
59,AJAY KUMAR,0:31:23,0:03:09,27of 34,27of 34,Indian Male
61,ABDUL BARI,0:34:36,0:03:28,34of 34,34of 34,Indian Male
62,HARMANJOT SINGH,0:30:12,0:03:02,19of 34,19of 34,Indian Male
63,KALIDAS HIRAVE,0:33:10,0:03:19,32of 34,32of 34,Indian Male
64,KIRAN MHATRE,0:30:35,0:03:04,22of 34,22of 34,Indian Male
66,RAHUL SHUKLA,0:33:12,0:03:20,33of 34,33of 34,Indian Male
67,KRESSTARJUNE PATHAW,0:32:45,0:03:17,31of 34,31of 34,Indian Male
70,PRAVIN KHAMBAL,0:30:10,0:03:01,18of 34,18of 34,Indian Male
71,LOVEPREET SINGH,0:30:40,0:03:04,23of 34,23of 34,Indian Male
73,NITESH KUMAR,0:31:55,0:03:12,28of 34,28of 34,Indian Male
74,PRAKASH DESHMUKH,0:32:11,0:03:13,29of 34,29of 34,Indian Male
78,GULVEER SINGH,0:30:06,0:03:01,17of 34,17of 34,Indian Male
79,KARTIK KUMAR,0:30:06,0:03:01,16of 34,16of 34,Indian Male
80,ABHISHEK PAL,0:30:05,0:03:01,15of 34,15of 34,Indian Male
81,MOHD  NUR HASAN,0:32:14,0:03:14,30of 34,30of 34,Interval
101,HELLLEN OBIRI,0:30:44,0:03:05,2of 25,2of 25,Interval
102,IRENE CHEPTAI,0:30:35,0:03:04,1of 25,1of 25,Interval
