BIB,Name,Finished Time,Pace (min/km),Rank Overall,Category Rank
2,SABASTAIN SAWE,00:27:59,00:02:48,1of 40,1of 40
3,RODRIGUE KWIZERA,00:27:59,00:02:48,2of 40,2of 40
5,MATHEW KIMELI,00:29:25,00:02:57,17of 40,17of 40
6,CHIMDESSA DEBELE,00:28:48,00:02:53,11of 40,11of 40
7,GEMECHU DIDA,00:28:37,00:02:52,8of 40,8of 40
8,STEPHEN KISSA,00:29:08,00:02:55,16of 40,16of 40
9,PATRICK MOSIN,00:28:40,00:02:52,9of 40,9of 40
10,NIBRET MELAK,00:28:13,00:02:50,5of 40,5of 40
11,BIRHANU LEGESE,00:28:46,00:02:53,10of 40,10of 40
12,MILKESA MENGESHA,00:28:21,00:02:50,6of 40,6of 40
13,MARU TEFERI,00:29:31,00:02:57,18of 40,18of 40
14,MARK LOMUKET,00:29:02,00:02:54,15of 40,15of 40
15,SOLOMON BERIHU,00:28:28,00:02:51,7of 40,7of 40
16,HILLARY CHEPKWONI,00:28:00,00:02:48,3of 40,3of 40
17,LEVY KIBET,00:28:48,00:02:53,12of 40,12of 40
18,KUMA DEJENE,00:29:01,00:02:54,14of 40,14of 40
19,EMBAY GOITOM,00:28:51,00:02:53,13of 40,13of 40
53,NAVEEN DAGAR,00:33:53,00:03:24,38of 40,38of 40
54,MURLI GAVIT,00:29:59,00:03:00,19of 40,19of 40
56,NITENDRA RAWAT,00:31:00,00:03:06,30of 40,30of 40
57,VIVEK MORE,00:31:16,00:03:08,32of 40,32of 40
61,DHARMENDER .,00:30:49,00:03:05,28of 40,28of 40
62,PANKAJ KUMAR,00:30:23,00:03:03,24of 40,24of 40
BIB,Name,Finished Time,Pace (min/km),Rank Overall,Category Rank
2,SABASTAIN SAWE,00:27:59,00:02:48,1of 40,1of 40
3,RODRIGUE KWIZERA,00:27:59,00:02:48,2of 40,2of 40
5,MATHEW KIMELI,00:29:25,00:02:57,17of 40,17of 40
6,CHIMDESSA DEBELE,00:28:48,00:02:53,11of 40,11of 40
7,GEMECHU DIDA,00:28:37,00:02:52,8of 40,8of 40
8,STEPHEN KISSA,00:29:08,00:02:55,16of 40,16of 40
9,PATRICK MOSIN,00:28:40,00:02:52,9of 40,9of 40
10,NIBRET MELAK,00:28:13,00:02:50,5of 40,5of 40
11,BIRHANU LEGESE,00:28:46,00:02:53,10of 40,10of 40
12,MILKESA MENGESHA,00:28:21,00:02:50,6of 40,6of 40
13,MARU TEFERI,00:29:31,00:02:57,18of 40,18of 40
14,MARK LOMUKET,00:29:02,00:02:54,15of 40,15of 40
15,SOLOMON BERIHU,00:28:28,00:02:51,7of 40,7of 40
16,HILLARY CHEPKWONI,00:28:00,00:02:48,3of 40,3of 40
17,LEVY KIBET,00:28:48,00:02:53,12of 40,12of 40
18,KUMA DEJENE,00:29:01,00:02:54,14of 40,14of 40
19,EMBAY GOITOM,00:28:51,00:02:53,13of 40,13of 40
53,NAVEEN DAGAR,00:33:53,00:03:24,38of 40,38of 40
54,MURLI GAVIT,00:29:59,00:03:00,19of 40,19of 40
56,NITENDRA RAWAT,00:31:00,00:03:06,30of 40,30of 40
57,VIVEK MORE,00:31:16,00:03:08,32of 40,32of 40
61,DHARMENDER .,00:30:49,00:03:05,28of 40,28of 40
